Scheme,Parameterset,Security level,pk size,sig size,signing (cycles),verification (cycles),signing (ms),verification (ms)
MiRitH (Mirath),IIIb short,3,205,"13,136","242,531,804","204,853,275",,
MiRitH (Mirath),IIIa short,3,205,"12,440","192,858,411","175,520,472",,
MiRitH (Mirath),hypercube-Vb short,5,274,"23,182","138,497,686","138,624,970",,
MiRitH (Mirath),hypercube-Va short,5,253,"21,795","118,493,608","113,191,871",,
MiRitH (Mirath),Ia short,1,129,"5,673","76,549,995","76,874,731",,
MiRitH (Mirath),hypercube-IIIb short,3,205,"13,136","71,813,403","75,999,541",,
MiRitH (Mirath),hypercube-IIIa short,3,205,"12,440","70,251,731","67,659,810",,
MiRitH (Mirath),Ib short,1,144,"6,309","65,630,977","65,551,641",,
MiRitH (Mirath),hypercube-Ib short,1,144,"6,309","42,086,140","42,047,669",,
MiRitH (Mirath),hypercube-Ia short,1,129,"5,673","41,220,707","40,976,634",,
MiRitH (Mirath),hypercube-Vb fast,5,274,"33,048","40,665,696","34,718,714",,
MiRitH (Mirath),Vb fast,5,274,"33,048","38,659,453","38,122,610",,
MiRitH (Mirath),Va fast,5,253,"30,458","36,361,915","36,665,342",,
MiRitH (Mirath),hypercube-Va fast,5,253,"30,458","33,245,024","28,269,718",,
MiRitH (Mirath),IIIb fast,3,205,"18,459","24,538,474","22,470,437",,
MiRitH (Mirath),IIIa fast,3,205,"17,139","22,485,807","18,431,919",,
MiRitH (Mirath),hypercube-IIIb fast,3,205,"18,459","18,384,614","15,550,479",,
MiRitH (Mirath),hypercube-IIIa fast,3,205,"17,139","15,571,845","13,030,031",,
MiRitH (Mirath),hypercube-Ib fast,1,144,"9,105","9,462,556","7,914,458",,
MiRitH (Mirath),Ia fast,1,129,"7,877","8,703,311","7,311,069",,
MiRitH (Mirath),Ib fast,1,144,"9,105","8,015,345","7,558,761",,
MiRitH (Mirath),hypercube-Ia fast,1,129,"7,877","7,246,084","6,061,955",,
MQOM,L1-gf31-short,1,47,6352,"44,400,000","41,720,000",,
MQOM,L1-gf251-short,1,59,6578,"28,500,000","27,300,000",,
MQOM,L1-gf31-fast,1,47,7657,"17,700,000","15,500,000",,
MQOM,L1-gf251-fast,1,59,7850,"11,500,000","10,200,000",,
MQOM,L3-gf31-short,3,73,13846,"108,000,000","102,000,000",,
MQOM,L3-gf251-short,3,92,14266,"69,500,000","65,600,000",,
MQOM,L3-gf31-fast,3,73,16669,"56,300,000","51,300,000",,
MQOM,L3-gf251-fast,3,92,17252,"32,900,000","29,600,000",,
MQOM,L5-gf31-short,5,99,24158,"224,000,000","214,000,000",,
MQOM,L5-gf251-short,5,125,24942,"148,000,000","142,000,000",,
MQOM,L5-gf31-fast,5,99,29036,"156,000,000","146,000,000",,
MQOM,L5-gf251-fast,5,125,30092,"81,600,000","75,600,000",,
PERK,V-short3,5,310,"26,400","185,000,000","143,000,000",,
PERK,V-short5,5,510,"24,200","171,000,000","131,000,000",,
PERK,III-short3,3,230,"15,000","82,000,000","65,000,000",,
PERK,III-short5,3,370,"13,800","77,000,000","60,000,000",,
PERK,I-short3,1,150,"6,560","39,000,000","27,000,000",,
PERK,V-fast3,5,310,"33,300","36,000,000","28,000,000",,
PERK,I-short5,1,240,"6,060","36,000,000","25,000,000",,
PERK,V-fast5,5,510,"31,700","34,000,000","26,000,000",,
PERK,III-fast3,3,230,"18,800","16,000,000","13,000,000",,
PERK,III-fast5,3,370,"18,000","15,000,000","12,000,000",,
PERK,I-fast3,1,150,"8,350","7,600,000","5,300,000",,
PERK,I-fast5,1,240,"8,030","7,200,000","5,100,000",,
QR-UOV,"V-(127, 306, 105, 3)",5,"173,708",392,"4,254,736,000","1,169,402,000",,
QR-UOV,"III-(127, 228, 78, 3)",3,"71,915",292,"1,555,131,000","524,886,000",,
QR-UOV,"V-(31, 1120, 120, 10)",5,"58,564",807,"1,074,835,000","433,574,000",,
QR-UOV,"III-(31, 890, 100, 10)",3,"34,423",643,"573,433,000","232,156,000",,
QR-UOV,"I-(127, 156, 54, 3)",1,"24,271",200,"361,728,000","144,955,000",,
QR-UOV,"V-(31, 324, 114, 3)",5,"158,453",306,"337,483,000","119,098,000",,
QR-UOV,"V-(7, 1490, 190, 10)",5,"135,439",662,"221,341,000","10,865,000",,
QR-UOV,"III-(31, 246, 87, 3)",3,"71,007",232,"153,006,000","5,349,000",,
QR-UOV,"I-(31, 600, 70, 10)",1,"12,282",435,"135,849,000","68,947,000",,
QR-UOV,"III-(7, 1100, 140, 10)",3,"55,173",489,"98,376,000","47,636,000",,
QR-UOV,"I-(31, 165, 60, 3)",1,"23,657",157,"25,217,000","15,973,000",,
QR-UOV,"I-(7, 740, 100, 10)",1,"20,657",331,"24,823,000","13,539,000",,
RSA,2048,Pre-Quantum,272,256,27000000,45000,,
RYDE,256S,5,188,"22,802","105,500,000","94,900,000",,
RYDE,192S,3,131,"12,933","49,600,000","44,800,000",,
RYDE,256F,5,188,"29,134","26,000,000","22,700,000",,
RYDE,128S,1,86,"5,956","23,400,000","20,100,000",,
RYDE,192F,3,131,"16,380","12,200,000","10,700,000",,
RYDE,128F,1,86,"7,446","5,400,000","4,400,000",,
SDitH,gf251-L5-hyp,5,234,"33,370","94,800,000","91,300,000",,
SDitH,gf256-L5-hyp,5,234,"33,370","59,200,000","54,400,000",,
SDitH,gf251-L3-hyp,3,183,"19,161","51,100,000","49,000,000",,
SDitH,gf256-L3-hyp,3,183,"19,161","30,500,000","27,700,000",,
SDitH,gf256-L5-thr,5,234,"43,943","30,500,000","10,200,000",,
SDitH,gf251-L5-thr,5,234,"43,943","23,900,000","3,200,000",,
SDitH,gf251-L1-hyp,1,120,"8,241","22,100,000","21,200,000",,
SDitH,gf256-L3-thr,3,183,"24,918","14,800,000","4,900,000",,
SDitH,gf256-L1-hyp,1,120,"8,241","13,400,000","12,500,000",,
SDitH,gf251-L3-thr,3,183,"24,918","11,700,000","1,500,000",,
SDitH,gf256-L1-thr,1,120,"10,117","5,100,000","1,600,000",,
SDitH,gf251-L1-thr,1,120,"10,117","4,400,000","600,000",,
SNOVA,"(60, 10, 4)",5,8016,576,3110898,1504945,,
SNOVA,"(66, 15, 3)",5,15204,381,3546746,2460059,,
SNOVA,"(75, 33, 2)",5,71890,216,"2,304,920","1,165,161",,
SNOVA,"(37, 8, 14)",3,4112,376,"1,188,690","544,395",,
SNOVA,"(49, 11, 3)",3,6006,286,"1,365,463","1,004,519",,
SNOVA,"(56, 25, 2)",3,31266,168,"964,716","507,009",,
SNOVA,"(24, 5, 4)",1,1016,248,"306,736","163,805",,
SNOVA,"(25, 8, 3)",1,2320,165,"370,046","218,801",,
SNOVA,"(37, 17, 2)",1,9842,106,"338,723","146,738",,
SLH-DSA,SHAKE-192s,3,48,"16,224","8,091,419,556","6,465,506",,
SLH-DSA,SHAKE-256s,5,64,"29,792","7,085,272,100","10,216,560",,
SLH-DSA,SHAKE-128s,1,32,"7,856","4,682,570,992","4,764,084",,
SLH-DSA,SHAKE-256f,5,64,"49,856","763,942,250","19,886,032",,
SLH-DSA,SHAKE-192f,3,48,"35,664","386,861,992","19,876,926",,
SLH-DSA,SHAKE-128f,1,32,"17,088","239,793,806","12,909,924",,
SQIsign,V,5,128,335,"158,544,000,000","2,177,000,000",,
SQIsign,III,3,96,263,"43,760,000,000","654,000,000",,
SQIsign,I,1,64,177,"5,669,000,000","108,000,000",,
UOV,V-pkc,5,"446,992",260,"591,812","2,032,992",,
UOV,V-classic,5,"2,869,440",260,"591,812","470,886",,
UOV,III-pkc,3,"189,232",200,"299,316","917,402",,
UOV,III-classic,3,"1,225,440",200,"299,316","241,588",,
UOV,Is-pkc,1,"66,576",96,"109,314","276,520",,
UOV,Is-classic,1,"412,160",96,"109,314","58,274",,
UOV,Ip-pkc,1,"43,576",128,"105,324","224,006",,
UOV,Ip-classic,1,"278,432",128,"105,324","90,336",,
EdDSA,Ed25519,Pre-Quantum,32,64,,,0.00274,0.008
